"TXNAME"	"GENEID"
"38"	"ENSDART00000133431"	"ENSDARG00000063385"
"39"	"ENSDART00000148261"	"ENSDARG00000063385"
"40"	"ENSDART00000152173"	"ENSDARG00000078751"
"41"	"ENSDART00000108579"	"ENSDARG00000011299"
"42"	"ENSDART00000146732"	"ENSDARG00000011299"
"43"	"ENSDART00000134581"	"ENSDARG00000011299"
"44"	"ENSDART00000109415"	"ENSDARG00000011299"
"45"	"ENSDART00000109083"	"ENSDARG00000058962"
"46"	"ENSDART00000081945"	"ENSDARG00000058962"
"47"	"ENSDART00000132385"	"ENSDARG00000058962"
"48"	"ENSDART00000020327"	"ENSDARG00000075325"
"49"	"ENSDART00000102421"	"ENSDARG00000075325"
"50"	"ENSDART00000184473"	"ENSDARG00000075325"
"51"	"ENSDART00000179731"	"ENSDARG00000041570"
"52"	"ENSDART00000060944"	"ENSDARG00000041570"
"53"	"ENSDART00000136011"	"ENSDARG00000041570"
"54"	"ENSDART00000116068"	"ENSDARG00000081781"
"55"	"ENSDART00000147633"	"ENSDARG00000041570"
"56"	"ENSDART00000143526"	"ENSDARG00000041570"
"57"	"ENSDART00000135944"	"ENSDARG00000058996"
"58"	"ENSDART00000166731"	"ENSDARG00000058996"
"59"	"ENSDART00000133165"	"ENSDARG00000058996"
"60"	"ENSDART00000184660"	"ENSDARG00000115421"
"61"	"ENSDART00000187355"	"ENSDARG00000116514"
"62"	"ENSDART00000118322"	"ENSDARG00000080051"
"63"	"ENSDART00000097626"	"ENSDARG00000067781"
"64"	"ENSDART00000048828"	"ENSDARG00000001870"
"65"	"ENSDART00000141426"	"ENSDARG00000001870"
"66"	"ENSDART00000123205"	"ENSDARG00000001870"
"67"	"ENSDART00000081047"	"ENSDARG00000002791"
"68"	"ENSDART00000137184"	"ENSDARG00000002791"
"69"	"ENSDART00000135994"	"ENSDARG00000002791"
"70"	"ENSDART00000147682"	"ENSDARG00000002791"
"71"	"ENSDART00000136381"	"ENSDARG00000002791"
"72"	"ENSDART00000132968"	"ENSDARG00000002791"
"73"	"ENSDART00000006449"	"ENSDARG00000007739"
"74"	"ENSDART00000144313"	"ENSDARG00000007739"
"75"	"ENSDART00000103850"	"ENSDARG00000039131"
"76"	"ENSDART00000006013"	"ENSDARG00000040252"
"77"	"ENSDART00000152442"	"ENSDARG00000093102"
"78"	"ENSDART00000139418"	"ENSDARG00000093102"
"79"	"ENSDART00000142874"	"ENSDARG00000095102"
"80"	"ENSDART00000131463"	"ENSDARG00000040250"
"81"	"ENSDART00000110331"	"ENSDARG00000075505"
"82"	"ENSDART00000008332"	"ENSDARG00000010376"
"83"	"ENSDART00000128187"	"ENSDARG00000018460"
"84"	"ENSDART00000122626"	"ENSDARG00000018460"
"85"	"ENSDART00000164488"	"ENSDARG00000018460"
"86"	"ENSDART00000167050"	"ENSDARG00000018460"
"87"	"ENSDART00000182153"	"ENSDARG00000018460"
"88"	"ENSDART00000131714"	"ENSDARG00000018460"
"89"	"ENSDART00000138396"	"ENSDARG00000018460"
"90"	"ENSDART00000180074"	"ENSDARG00000018460"
"91"	"ENSDART00000022019"	"ENSDARG00000018460"
"92"	"ENSDART00000098059"	"ENSDARG00000018460"
"93"	"ENSDART00000074923"	"ENSDARG00000018460"
"94"	"ENSDART00000124534"	"ENSDARG00000018460"
"95"	"ENSDART00000136680"	"ENSDARG00000018460"
"96"	"ENSDART00000132126"	"ENSDARG00000018460"
"97"	"ENSDART00000058877"	"ENSDARG00000040246"
"98"	"ENSDART00000058876"	"ENSDARG00000040245"
"99"	"ENSDART00000146095"	"ENSDARG00000040245"
"100"	"ENSDART00000116379"	"ENSDARG00000082290"
"101"	"ENSDART00000140507"	"ENSDARG00000040245"
"102"	"ENSDART00000143008"	"ENSDARG00000040245"
"103"	"ENSDART00000143758"	"ENSDARG00000074381"
"104"	"ENSDART00000108919"	"ENSDARG00000074381"
"105"	"ENSDART00000141036"	"ENSDARG00000074381"
"106"	"ENSDART00000143361"	"ENSDARG00000074381"
"107"	"ENSDART00000142944"	"ENSDARG00000074381"
"108"	"ENSDART00000157662"	"ENSDARG00000074381"
"109"	"ENSDART00000119884"	"ENSDARG00000084484"
"110"	"ENSDART00000183832"	"ENSDARG00000074381"
"111"	"ENSDART00000126093"	"ENSDARG00000103156"
"112"	"ENSDART00000121234"	"ENSDARG00000088916"
"113"	"ENSDART00000163793"	"ENSDARG00000098769"
"114"	"ENSDART00000194519"	"ENSDARG00000117775"
"115"	"ENSDART00000052423"	"ENSDARG00000078308"
"116"	"ENSDART00000189676"	"ENSDARG00000078308"
"117"	"ENSDART00000040204"	"ENSDARG00000031164"
"118"	"ENSDART00000122569"	"ENSDARG00000031164"
"119"	"ENSDART00000055047"	"ENSDARG00000037777"
"120"	"ENSDART00000142248"	"ENSDARG00000037777"
"121"	"ENSDART00000137670"	"ENSDARG00000016706"
"122"	"ENSDART00000139261"	"ENSDARG00000016706"
"123"	"ENSDART00000136282"	"ENSDARG00000016706"
"124"	"ENSDART00000022307"	"ENSDARG00000016706"
"125"	"ENSDART00000141973"	"ENSDARG00000016706"
"126"	"ENSDART00000109756"	"ENSDARG00000077688"
"127"	"ENSDART00000092324"	"ENSDARG00000063297"
"128"	"ENSDART00000179970"	"ENSDARG00000063297"
"129"	"ENSDART00000037036"	"ENSDARG00000027078"
"130"	"ENSDART00000144559"	"ENSDARG00000027078"
"131"	"ENSDART00000188295"	"ENSDARG00000027078"
"132"	"ENSDART00000024358"	"ENSDARG00000017537"
"133"	"ENSDART00000136060"	"ENSDARG00000017537"
"134"	"ENSDART00000126468"	"ENSDARG00000017537"
"135"	"ENSDART00000132675"	"ENSDARG00000017537"
"136"	"ENSDART00000145809"	"ENSDARG00000017537"
"137"	"ENSDART00000139723"	"ENSDARG00000017537"
"138"	"ENSDART00000092277"	"ENSDARG00000063270"
"139"	"ENSDART00000140936"	"ENSDARG00000063270"
"140"	"ENSDART00000146473"	"ENSDARG00000063270"
"141"	"ENSDART00000145378"	"ENSDARG00000074031"
"142"	"ENSDART00000108816"	"ENSDARG00000074031"
"143"	"ENSDART00000127329"	"ENSDARG00000043247"
"144"	"ENSDART00000183870"	"ENSDARG00000113848"
"145"	"ENSDART00000166620"	"ENSDARG00000063253"
"146"	"ENSDART00000147638"	"ENSDARG00000070558"
"147"	"ENSDART00000144641"	"ENSDARG00000025754"
"148"	"ENSDART00000103701"	"ENSDARG00000025754"
"149"	"ENSDART00000138919"	"ENSDARG00000025754"
"150"	"ENSDART00000152383"	"ENSDARG00000096530"
"151"	"ENSDART00000189104"	"ENSDARG00000116636"
"152"	"ENSDART00000145822"	"ENSDARG00000063207"
"153"	"ENSDART00000092118"	"ENSDARG00000063207"
"154"	"ENSDART00000182953"	"ENSDARG00000063207"
"155"	"ENSDART00000133377"	"ENSDARG00000095087"
"156"	"ENSDART00000152187"	"ENSDARG00000096610"
"157"	"ENSDART00000194672"	"ENSDARG00000117465"
"158"	"ENSDART00000194346"	"ENSDARG00000117465"
"159"	"ENSDART00000092114"	"ENSDARG00000090408"
"160"	"ENSDART00000127426"	"ENSDARG00000090408"
"161"	"ENSDART00000123563"	"ENSDARG00000013741"
"162"	"ENSDART00000016139"	"ENSDARG00000013741"
"163"	"ENSDART00000135112"	"ENSDARG00000013741"
"164"	"ENSDART00000132217"	"ENSDARG00000013741"
"165"	"ENSDART00000148276"	"ENSDARG00000017441"
"166"	"ENSDART00000147770"	"ENSDARG00000017441"
"167"	"ENSDART00000015732"	"ENSDARG00000017441"
"168"	"ENSDART00000145445"	"ENSDARG00000017441"
"169"	"ENSDART00000101586"	"ENSDARG00000037713"
"170"	"ENSDART00000184465"	"ENSDARG00000037713"
"171"	"ENSDART00000146682"	"ENSDARG00000037713"
"172"	"ENSDART00000054925"	"ENSDARG00000037713"
"173"	"ENSDART00000146238"	"ENSDARG00000037713"
"174"	"ENSDART00000140189"	"ENSDARG00000037713"
"175"	"ENSDART00000134213"	"ENSDARG00000037713"
"176"	"ENSDART00000163488"	"ENSDARG00000098730"
"177"	"ENSDART00000190070"	"ENSDARG00000098730"
"178"	"ENSDART00000159655"	"ENSDARG00000099359"
"179"	"ENSDART00000167552"	"ENSDARG00000103767"
"180"	"ENSDART00000112160"	"ENSDARG00000074212"
"181"	"ENSDART00000152192"	"ENSDARG00000074212"
"182"	"ENSDART00000168631"	"ENSDARG00000099708"
"183"	"ENSDART00000160440"	"ENSDARG00000099708"
"184"	"ENSDART00000143547"	"ENSDARG00000078474"
"185"	"ENSDART00000183730"	"ENSDARG00000078474"
"186"	"ENSDART00000184518"	"ENSDARG00000078474"
"187"	"ENSDART00000091683"	"ENSDARG00000063003"
"188"	"ENSDART00000121439"	"ENSDARG00000002377"
"189"	"ENSDART00000103626"	"ENSDARG00000002377"
"190"	"ENSDART00000141283"	"ENSDARG00000002377"
"191"	"ENSDART00000021504"	"ENSDARG00000015803"
"192"	"ENSDART00000152162"	"ENSDARG00000096526"
"193"	"ENSDART00000186329"	"ENSDARG00000113858"
"194"	"ENSDART00000152525"	"ENSDARG00000096599"
"195"	"ENSDART00000161791"	"ENSDARG00000100771"
"196"	"ENSDART00000152367"	"ENSDARG00000079873"
"197"	"ENSDART00000054989"	"ENSDARG00000037747"
"198"	"ENSDART00000025604"	"ENSDARG00000012458"
"199"	"ENSDART00000152142"	"ENSDARG00000012458"
"200"	"ENSDART00000139699"	"ENSDARG00000094298"
"201"	"ENSDART00000122568"	"ENSDARG00000037758"
"202"	"ENSDART00000055006"	"ENSDARG00000037758"
"203"	"ENSDART00000006211"	"ENSDARG00000008723"
"204"	"ENSDART00000137211"	"ENSDARG00000008723"
"205"	"ENSDART00000184194"	"ENSDARG00000110570"
"206"	"ENSDART00000146303"	"ENSDARG00000058460"
"207"	"ENSDART00000055023"	"ENSDARG00000058460"
"208"	"ENSDART00000046507"	"ENSDARG00000058464"
"209"	"ENSDART00000081343"	"ENSDARG00000058471"
"210"	"ENSDART00000139877"	"ENSDARG00000058471"
"211"	"ENSDART00000145524"	"ENSDARG00000058471"
"212"	"ENSDART00000141104"	"ENSDARG00000058471"
"213"	"ENSDART00000092058"	"ENSDARG00000058480"
"214"	"ENSDART00000182771"	"ENSDARG00000058480"
"215"	"ENSDART00000143336"	"ENSDARG00000058480"
"216"	"ENSDART00000142384"	"ENSDARG00000092791"
"217"	"ENSDART00000055009"	"ENSDARG00000037760"
"218"	"ENSDART00000111131"	"ENSDARG00000074372"
"219"	"ENSDART00000189621"	"ENSDARG00000074372"
"220"	"ENSDART00000054848"	"ENSDARG00000037654"
"221"	"ENSDART00000135702"	"ENSDARG00000037646"
"222"	"ENSDART00000054833"	"ENSDARG00000037646"
"223"	"ENSDART00000005895"	"ENSDARG00000018263"
"224"	"ENSDART00000183003"	"ENSDARG00000018263"
"225"	"ENSDART00000132607"	"ENSDARG00000077542"
"226"	"ENSDART00000143719"	"ENSDARG00000079043"
"227"	"ENSDART00000110749"	"ENSDARG00000079043"
"228"	"ENSDART00000162675"	"ENSDARG00000076174"
"229"	"ENSDART00000113551"	"ENSDARG00000076174"
"230"	"ENSDART00000190227"	"ENSDARG00000076174"
"231"	"ENSDART00000011701"	"ENSDARG00000008969"
"232"	"ENSDART00000134835"	"ENSDARG00000008969"
"233"	"ENSDART00000144756"	"ENSDARG00000008969"
"234"	"ENSDART00000133465"	"ENSDARG00000008969"
"235"	"ENSDART00000139358"	"ENSDARG00000008969"
"236"	"ENSDART00000190194"	"ENSDARG00000104660"
"237"	"ENSDART00000168473"	"ENSDARG00000104660"
"238"	"ENSDART00000172059"	"ENSDARG00000104660"
"239"	"ENSDART00000080576"	"ENSDARG00000096594"
"240"	"ENSDART00000181437"	"ENSDARG00000096594"
"241"	"ENSDART00000152432"	"ENSDARG00000077652"
"242"	"ENSDART00000110698"	"ENSDARG00000079452"
"243"	"ENSDART00000187740"	"ENSDARG00000079452"
"244"	"ENSDART00000152424"	"ENSDARG00000089943"
"245"	"ENSDART00000152562"	"ENSDARG00000077533"
"246"	"ENSDART00000043881"	"ENSDARG00000030563"
"247"	"ENSDART00000152779"	"ENSDARG00000026387"
"248"	"ENSDART00000029774"	"ENSDARG00000026387"
"249"	"ENSDART00000120166"	"ENSDARG00000084766"
"250"	"ENSDART00000046283"	"ENSDARG00000034785"
"251"	"ENSDART00000103535"	"ENSDARG00000034785"
"252"	"ENSDART00000132076"	"ENSDARG00000034785"
"253"	"ENSDART00000163201"	"ENSDARG00000103508"
"254"	"ENSDART00000054879"	"ENSDARG00000037679"
"255"	"ENSDART00000152438"	"ENSDARG00000037679"
"256"	"ENSDART00000139387"	"ENSDARG00000076833"
"257"	"ENSDART00000027050"	"ENSDARG00000012297"
"258"	"ENSDART00000137185"	"ENSDARG00000012297"
"259"	"ENSDART00000109858"	"ENSDARG00000074379"
"260"	"ENSDART00000184803"	"ENSDARG00000112849"
"261"	"ENSDART00000188928"	"ENSDARG00000113410"
"262"	"ENSDART00000054787"	"ENSDARG00000037619"
"263"	"ENSDART00000111041"	"ENSDARG00000074213"
"264"	"ENSDART00000134531"	"ENSDARG00000074213"
"265"	"ENSDART00000142045"	"ENSDARG00000074213"
"266"	"ENSDART00000147623"	"ENSDARG00000062606"
"267"	"ENSDART00000138355"	"ENSDARG00000062606"
"268"	"ENSDART00000140329"	"ENSDARG00000077198"
"269"	"ENSDART00000166981"	"ENSDARG00000078057"
"270"	"ENSDART00000193419"	"ENSDARG00000078057"
"271"	"ENSDART00000103399"	"ENSDARG00000070449"
"272"	"ENSDART00000080100"	"ENSDARG00000042988"
"273"	"ENSDART00000145929"	"ENSDARG00000042988"
"274"	"ENSDART00000132752"	"ENSDARG00000042988"
"275"	"ENSDART00000152479"	"ENSDARG00000096506"
"276"	"ENSDART00000152634"	"ENSDARG00000096506"
"277"	"ENSDART00000103403"	"ENSDARG00000070452"
"278"	"ENSDART00000137697"	"ENSDARG00000070452"
"279"	"ENSDART00000055566"	"ENSDARG00000038114"
"280"	"ENSDART00000140116"	"ENSDARG00000038114"
"281"	"ENSDART00000126020"	"ENSDARG00000091609"
"282"	"ENSDART00000132560"	"ENSDARG00000062467"
"283"	"ENSDART00000146842"	"ENSDARG00000062467"
"284"	"ENSDART00000142081"	"ENSDARG00000062467"
"285"	"ENSDART00000090380"	"ENSDARG00000062467"
"286"	"ENSDART00000136188"	"ENSDARG00000062467"
"287"	"ENSDART00000141894"	"ENSDARG00000062467"
"288"	"ENSDART00000040307"	"ENSDARG00000032808"
"289"	"ENSDART00000143839"	"ENSDARG00000032808"
"290"	"ENSDART00000111485"	"ENSDARG00000078318"
"291"	"ENSDART00000158595"	"ENSDARG00000099771"
"292"	"ENSDART00000165733"	"ENSDARG00000099771"
"293"	"ENSDART00000164045"	"ENSDARG00000099771"
"294"	"ENSDART00000168776"	"ENSDARG00000099771"
"295"	"ENSDART00000067086"	"ENSDARG00000045620"
"296"	"ENSDART00000144920"	"ENSDARG00000045618"
"297"	"ENSDART00000138759"	"ENSDARG00000045618"
"298"	"ENSDART00000067082"	"ENSDARG00000045618"
"299"	"ENSDART00000142900"	"ENSDARG00000045618"
"300"	"ENSDART00000136658"	"ENSDARG00000045618"
"301"	"ENSDART00000144475"	"ENSDARG00000045618"
"302"	"ENSDART00000138622"	"ENSDARG00000017985"
"303"	"ENSDART00000134575"	"ENSDARG00000017985"
"304"	"ENSDART00000136421"	"ENSDARG00000017985"
"305"	"ENSDART00000139440"	"ENSDARG00000017985"
"306"	"ENSDART00000184296"	"ENSDARG00000017985"
"307"	"ENSDART00000008127"	"ENSDARG00000017985"
"308"	"ENSDART00000192154"	"ENSDARG00000113585"
"309"	"ENSDART00000179648"	"ENSDARG00000106508"
"310"	"ENSDART00000165050"	"ENSDARG00000104707"
"311"	"ENSDART00000185452"	"ENSDARG00000116228"
"312"	"ENSDART00000159226"	"ENSDARG00000099729"
"313"	"ENSDART00000180121"	"ENSDARG00000099729"
"314"	"ENSDART00000189465"	"ENSDARG00000099729"
"315"	"ENSDART00000165785"	"ENSDARG00000099729"
"316"	"ENSDART00000162652"	"ENSDARG00000099729"
"317"	"ENSDART00000172433"	"ENSDARG00000105122"
"318"	"ENSDART00000167315"	"ENSDARG00000105122"
"319"	"ENSDART00000162959"	"ENSDARG00000098668"
"320"	"ENSDART00000159014"	"ENSDARG00000098053"
"321"	"ENSDART00000170314"	"ENSDARG00000102339"
"322"	"ENSDART00000111026"	"ENSDARG00000078525"
"323"	"ENSDART00000079716"	"ENSDARG00000057114"
"324"	"ENSDART00000021693"	"ENSDARG00000009026"
"325"	"ENSDART00000161996"	"ENSDARG00000104795"
"326"	"ENSDART00000017679"	"ENSDARG00000056797"
"327"	"ENSDART00000177692"	"ENSDARG00000107022"
"328"	"ENSDART00000064468"	"ENSDARG00000056742"
"329"	"ENSDART00000046874"	"ENSDARG00000037576"
"330"	"ENSDART00000103346"	"ENSDARG00000070431"
"331"	"ENSDART00000030083"	"ENSDARG00000022690"
"332"	"ENSDART00000024328"	"ENSDARG00000012903"
"333"	"ENSDART00000005067"	"ENSDARG00000003398"
"334"	"ENSDART00000114097"	"ENSDARG00000074867"
"335"	"ENSDART00000192194"	"ENSDARG00000039063"
"336"	"ENSDART00000179745"	"ENSDARG00000109748"
"337"	"ENSDART00000187273"	"ENSDARG00000116279"
"338"	"ENSDART00000192733"	"ENSDARG00000109910"
"339"	"ENSDART00000188325"	"ENSDARG00000116174"
"340"	"ENSDART00000184805"	"ENSDARG00000116266"
"341"	"ENSDART00000193514"	"ENSDARG00000111171"
"342"	"ENSDART00000175698"	"ENSDARG00000111710"
"343"	"ENSDART00000192228"	"ENSDARG00000111723"
"344"	"ENSDART00000193139"	"ENSDARG00000115042"
"345"	"ENSDART00000187557"	"ENSDARG00000114262"
"346"	"ENSDART00000111475"	"ENSDARG00000078898"
"347"	"ENSDART00000188410"	"ENSDARG00000007534"
"348"	"ENSDART00000121868"	"ENSDARG00000007534"
"349"	"ENSDART00000189206"	"ENSDARG00000007534"
"350"	"ENSDART00000181639"	"ENSDARG00000007534"
"351"	"ENSDART00000109911"	"ENSDARG00000077804"
"352"	"ENSDART00000033018"	"ENSDARG00000013881"
"353"	"ENSDART00000160270"	"ENSDARG00000078854"
"354"	"ENSDART00000122503"	"ENSDARG00000078854"
"355"	"ENSDART00000054707"	"ENSDARG00000078854"
"356"	"ENSDART00000177686"	"ENSDARG00000108223"
"357"	"ENSDART00000189245"	"ENSDARG00000078599"
"358"	"ENSDART00000113266"	"ENSDARG00000078599"
"359"	"ENSDART00000159794"	"ENSDARG00000078599"
"360"	"ENSDART00000189735"	"ENSDARG00000115704"
"361"	"ENSDART00000185436"	"ENSDARG00000109375"
"362"	"ENSDART00000078675"	"ENSDARG00000017119"
"363"	"ENSDART00000162389"	"ENSDARG00000017119"
"364"	"ENSDART00000048855"	"ENSDARG00000034105"
"365"	"ENSDART00000166317"	"ENSDARG00000034105"
"366"	"ENSDART00000187067"	"ENSDARG00000034105"
"367"	"ENSDART00000162164"	"ENSDARG00000034105"
"368"	"ENSDART00000171166"	"ENSDARG00000034105"
"369"	"ENSDART00000149026"	"ENSDARG00000062198"
"370"	"ENSDART00000164899"	"ENSDARG00000062198"
"371"	"ENSDART00000174777"	"ENSDARG00000108673"
"372"	"ENSDART00000145068"	"ENSDARG00000017591"
"373"	"ENSDART00000131333"	"ENSDARG00000017591"
"374"	"ENSDART00000139702"	"ENSDARG00000017905"
"375"	"ENSDART00000140076"	"ENSDARG00000017905"
"376"	"ENSDART00000005593"	"ENSDARG00000017905"
"377"	"ENSDART00000131927"	"ENSDARG00000017905"
"378"	"ENSDART00000078889"	"ENSDARG00000056400"
"379"	"ENSDART00000030665"	"ENSDARG00000027355"
"380"	"ENSDART00000103236"	"ENSDARG00000056376"
"381"	"ENSDART00000135263"	"ENSDARG00000095697"
"382"	"ENSDART00000013021"	"ENSDARG00000016065"
"383"	"ENSDART00000089480"	"ENSDARG00000062132"
"384"	"ENSDART00000138598"	"ENSDARG00000062132"
"385"	"ENSDART00000188234"	"ENSDARG00000115616"
"386"	"ENSDART00000142515"	"ENSDARG00000095111"
"387"	"ENSDART00000078610"	"ENSDARG00000056163"
"388"	"ENSDART00000139241"	"ENSDARG00000062055"
"389"	"ENSDART00000184180"	"ENSDARG00000062055"
"390"	"ENSDART00000193777"	"ENSDARG00000062055"
"391"	"ENSDART00000132379"	"ENSDARG00000074275"
"392"	"ENSDART00000137940"	"ENSDARG00000074275"
"393"	"ENSDART00000002886"	"ENSDARG00000006392"
"394"	"ENSDART00000131948"	"ENSDARG00000006392"
"395"	"ENSDART00000114514"	"ENSDARG00000073902"
"396"	"ENSDART00000129970"	"ENSDARG00000086957"
"397"	"ENSDART00000078594"	"ENSDARG00000056151"
"398"	"ENSDART00000133959"	"ENSDARG00000003631"
"399"	"ENSDART00000144403"	"ENSDARG00000003631"
"400"	"ENSDART00000012552"	"ENSDARG00000003631"
"401"	"ENSDART00000133758"	"ENSDARG00000003631"
"402"	"ENSDART00000136307"	"ENSDARG00000003631"
"403"	"ENSDART00000103091"	"ENSDARG00000070321"
"404"	"ENSDART00000135274"	"ENSDARG00000017744"
"405"	"ENSDART00000103089"	"ENSDARG00000070320"
"406"	"ENSDART00000109416"	"ENSDARG00000017744"
"407"	"ENSDART00000088933"	"ENSDARG00000061936"
"408"	"ENSDART00000111555"	"ENSDARG00000061936"
"409"	"ENSDART00000141579"	"ENSDARG00000061936"
"410"	"ENSDART00000143077"	"ENSDARG00000061936"
"411"	"ENSDART00000054575"	"ENSDARG00000037484"
"412"	"ENSDART00000120760"	"ENSDARG00000085360"
"413"	"ENSDART00000054581"	"ENSDARG00000037487"
"414"	"ENSDART00000131206"	"ENSDARG00000037487"
"415"	"ENSDART00000138276"	"ENSDARG00000077648"
"416"	"ENSDART00000113832"	"ENSDARG00000079250"
"417"	"ENSDART00000143559"	"ENSDARG00000079250"
"418"	"ENSDART00000180175"	"ENSDARG00000079250"
"419"	"ENSDART00000111454"	"ENSDARG00000080019"
"420"	"ENSDART00000186107"	"ENSDARG00000080019"
"421"	"ENSDART00000158344"	"ENSDARG00000099995"
"422"	"ENSDART00000161573"	"ENSDARG00000099995"
"423"	"ENSDART00000164661"	"ENSDARG00000099995"
"424"	"ENSDART00000170396"	"ENSDARG00000099995"
"425"	"ENSDART00000088653"	"ENSDARG00000061830"
"426"	"ENSDART00000140263"	"ENSDARG00000061830"
"427"	"ENSDART00000132440"	"ENSDARG00000093816"
"428"	"ENSDART00000145418"	"ENSDARG00000070266"
"429"	"ENSDART00000148518"	"ENSDARG00000070266"
"430"	"ENSDART00000139461"	"ENSDARG00000070266"
"431"	"ENSDART00000102969"	"ENSDARG00000070266"
"432"	"ENSDART00000166479"	"ENSDARG00000070266"
"433"	"ENSDART00000136556"	"ENSDARG00000094202"
"434"	"ENSDART00000120308"	"ENSDARG00000084908"
"435"	"ENSDART00000054442"	"ENSDARG00000037410"
"436"	"ENSDART00000145661"	"ENSDARG00000037410"
"437"	"ENSDART00000147076"	"ENSDARG00000033273"
"438"	"ENSDART00000006147"	"ENSDARG00000033273"
"439"	"ENSDART00000146638"	"ENSDARG00000033273"
"440"	"ENSDART00000132602"	"ENSDARG00000037383"
"441"	"ENSDART00000054395"	"ENSDARG00000037383"
"442"	"ENSDART00000087729"	"ENSDARG00000061504"
"443"	"ENSDART00000132090"	"ENSDARG00000061504"
"444"	"ENSDART00000141317"	"ENSDARG00000000606"
"445"	"ENSDART00000054388"	"ENSDARG00000000606"
"446"	"ENSDART00000137429"	"ENSDARG00000000606"
"447"	"ENSDART00000147193"	"ENSDARG00000092275"
"448"	"ENSDART00000181063"	"ENSDARG00000114954"
"449"	"ENSDART00000019698"	"ENSDARG00000016470"
"450"	"ENSDART00000161874"	"ENSDARG00000016470"
"451"	"ENSDART00000017413"	"ENSDARG00000002406"
"452"	"ENSDART00000185307"	"ENSDARG00000116099"
"453"	"ENSDART00000193925"	"ENSDARG00000012672"
"454"	"ENSDART00000138235"	"ENSDARG00000012672"
"455"	"ENSDART00000016488"	"ENSDARG00000012672"
"456"	"ENSDART00000162827"	"ENSDARG00000094677"
"457"	"ENSDART00000188428"	"ENSDARG00000094677"
"458"	"ENSDART00000147857"	"ENSDARG00000094677"
"459"	"ENSDART00000192774"	"ENSDARG00000116939"
"460"	"ENSDART00000036448"	"ENSDARG00000022845"
"461"	"ENSDART00000144792"	"ENSDARG00000022845"
"462"	"ENSDART00000025770"	"ENSDARG00000013505"
"463"	"ENSDART00000139003"	"ENSDARG00000013505"
"464"	"ENSDART00000187503"	"ENSDARG00000061451"
"465"	"ENSDART00000087658"	"ENSDARG00000061451"
"466"	"ENSDART00000134113"	"ENSDARG00000061451"
"467"	"ENSDART00000102646"	"ENSDARG00000070121"
"468"	"ENSDART00000189921"	"ENSDARG00000054680"
"469"	"ENSDART00000140706"	"ENSDARG00000054680"
"470"	"ENSDART00000134576"	"ENSDARG00000092290"
"471"	"ENSDART00000139557"	"ENSDARG00000092290"
"472"	"ENSDART00000142928"	"ENSDARG00000092290"
"473"	"ENSDART00000133659"	"ENSDARG00000070109"
"474"	"ENSDART00000187824"	"ENSDARG00000070109"
"475"	"ENSDART00000142879"	"ENSDARG00000070109"
"476"	"ENSDART00000189894"	"ENSDARG00000114096"
"477"	"ENSDART00000007531"	"ENSDARG00000004246"
"478"	"ENSDART00000171951"	"ENSDARG00000004246"
"479"	"ENSDART00000183029"	"ENSDARG00000004246"
"480"	"ENSDART00000187183"	"ENSDARG00000004246"
"481"	"ENSDART00000188521"	"ENSDARG00000004246"
